Data File Name,2100 expert_High Sensitivity DNA Assay_DE34903936_2014-02-25_12-30-24.xad
Data File Path,S:\Genomics\Next_Gen_Sequencing\Solexa_Illumina\HiSEQ\Shilatifard\DHU\MOLNG-737
Date Created,"Tuesday, February 25, 2014 6:30:24 PM"
Date Last Modified,"Tuesday, February 25, 2014 7:16:16 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
39,-1.133548
39.05,-1.107347
39.1,-1.044132
39.15,-0.8205972
39.2,-0.7172634
39.25,-0.9105797
39.3,-1.123854
39.35,-1.173708
39.4,-1.002914
39.45,-0.7499902
39.5,-0.6517915
39.55,-0.7636886
39.6,-0.8937719
39.65,-0.9877202
39.7,-0.8657957
39.75,-0.9056746
39.8,-1.214019
39.85,-1.225286
39.9,-1.10671
39.95,-0.9978538
40,-0.8420607
40.05,-0.8588384
40.1,-1.027625
40.15,-1.328397
40.2,-1.321326
40.25,-1.411221
40.3,-1.296607
40.35,-1.095987
40.4,-0.9657452
40.45,-0.9299859
40.5,-0.9422515
40.55,-0.906552
40.6,-1.021433
40.65,-1.162777
40.7,-1.241191
40.75,-1.187879
40.8,-1.140601
40.85,-0.9239172
40.9,-0.7989169
40.95,-0.850932
41,-1.10208
41.05,-1.149408
41.1,-1.184934
41.15,-1.074578
41.2,-0.9376201
41.25,-0.8556888
41.3,-0.7780844
41.35,-0.752323
41.4,-0.7638075
41.45,-0.9039595
41.5,-1.242323
41.55,-1.336978
41.6,-1.285504
41.65,-1.20919
41.7,-1.139297
41.75,-1.138675
41.8,-1.116176
41.85,-1.403752
41.9,-1.356705
41.95,-1.494802
42,-1.51356
42.05,-1.537556
42.1,-1.335553
42.15,-1.170257
42.2,-1.134212
42.25,-1.053673
42.3,-1.195933
42.35,-1.508589
42.4,-1.542535
42.45,-1.435285
42.5,-1.257745
42.55,-0.5740083
42.6,1.037508
42.65,4.409631
42.7,10.69571
42.75,21.13245
42.8,35.77568
42.85,53.72686
42.9,72.49261
42.95,88.34631
43,97.1546
43.05,94.94032
43.1,83.57893
43.15,66.13519
43.2,46.61377
43.25,29.37766
43.3,16.26949
43.35,8.060932
43.4,3.63821
43.45,1.76432
43.5,1.062649
43.55,0.907178
43.6,0.843272
43.65,0.54826
43.7,0.4912016
43.75,0.4027376
43.8,0.5019537
43.85,0.45459
43.9,0.3712571
43.95,0.4160137
44,0.2707698
44.05,-0.1380884
44.1,-0.434731
44.15,-0.6358935
44.2,-0.8761437
44.25,-0.7344778
44.3,-0.5414441
